"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.401506800E-1,-8.057032824E-1,-1.640753448E-1,1.126726151E0,1.394844191E0
6.451039090E-1,-9.287979603E-1,-8.229380846E-2,1.084637642E0,1.430341475E0
6.500571390E-1,-1.103047967E0,8.767336607E-2,8.313426971E-1,1.384027499E0
6.550103680E-1,-1.976648808E0,6.692407727E-1,-6.683721542E-1,2.191288447E0
6.599627120E-1,-2.133827209E0,8.135415912E-1,-9.732799530E-1,2.482406564E0
6.649158890E-1,-1.773579121E0,7.261813879E-1,-4.987840652E-1,1.980330237E0
6.698690660E-1,-1.479049325E0,7.318913341E-1,-4.927110672E-1,1.722212538E0
6.748222430E-1,-1.239374876E0,7.066958547E-1,-5.465784073E-1,1.527814475E0
6.797751070E-1,-9.820433259E-1,6.037753820E-1,-5.499382019E-1,1.277257152E0
6.847282840E-1,-8.000036478E-1,4.502021670E-1,-5.215950012E-1,1.055816827E0
6.896814620E-1,-6.041290760E-1,3.203640580E-1,-5.660381317E-1,8.876960272E-1
6.946345870E-1,-4.877144396E-1,2.643842101E-1,-6.897706985E-1,8.851824681E-1
6.995903160E-1,-4.069644809E-1,1.084130406E-1,-7.044296265E-1,8.207280760E-1
7.045436490E-1,-3.013964891E-1,1.201775670E-1,-7.155847549E-1,7.857124364E-1
7.094969300E-1,-2.269084752E-1,7.021266222E-2,-7.043781281E-1,7.433477123E-1
7.144502120E-1,-2.648480237E-1,-2.412265539E-2,-6.116724014E-1,6.669853858E-1
7.194172430E-1,-2.662987411E-1,-1.713079214E-2,-5.405035019E-1,6.027872918E-1
7.243712010E-1,-3.281760812E-1,3.601056337E-2,-5.122671127E-1,6.094373600E-1
7.293251590E-1,-4.546331763E-1,1.042201519E-1,-5.125713348E-1,6.930241975E-1
7.342791700E-1,-5.583597422E-1,2.139701843E-1,-4.986295700E-1,7.785758085E-1
7.392163050E-1,-5.701454282E-1,3.603531718E-1,-5.491724014E-1,8.697761460E-1
7.441694300E-1,-5.076051950E-1,4.718713164E-1,-5.591773987E-1,8.905082462E-1
7.491226070E-1,-4.269432127E-1,4.962982535E-1,-4.314241409E-1,7.840403387E-1
7.540757320E-1,-3.063449264E-1,5.240847468E-1,-2.690982819E-1,6.640225305E-1
7.590330240E-1,-1.390459538E-1,4.188205004E-1,-1.270561218E-1,4.592250504E-1
7.639863570E-1,2.588549256E-2,2.590814233E-1,1.068115234E-1,2.814283997E-1
7.689396910E-1,2.149654031E-1,9.165957570E-2,3.630771637E-1,4.317830811E-1
7.738930240E-1,3.635624349E-1,-3.476387262E-2,6.275138855E-1,7.260577439E-1
7.788434930E-1,5.005693436E-1,-1.695088446E-1,9.121341705E-1,1.054178192E0
7.837967220E-1,5.380616188E-1,-3.017911911E-1,1.107487679E0,1.267721258E0
7.887498990E-1,4.638580382E-1,-3.871139884E-1,1.083347321E0,1.240428529E0
7.937031280E-1,3.032283783E-1,-3.859054744E-1,9.291868210E-1,1.050837111E0
7.986584930E-1,8.257746696E-2,-3.510637879E-1,7.837848663E-1,8.627766443E-1
8.036118260E-1,-2.345389128E-2,-2.278242707E-1,6.255054474E-1,6.661163923E-1
8.085651590E-1,-5.313676596E-2,-8.292447776E-2,3.899736404E-1,4.022181313E-1
8.135184410E-1,-5.722081661E-2,7.692688704E-2,2.464990616E-1,2.644877221E-1
8.184709930E-1,6.103181839E-2,2.049154937E-1,6.817626953E-2,2.244175710E-1
8.234242740E-1,8.099710941E-2,3.827111721E-1,-8.780670166E-2,4.009219249E-1
8.283775550E-1,-5.232989788E-3,6.175197959E-1,-2.645664215E-1,6.718284557E-1
8.333308370E-1,7.584995031E-2,7.429280281E-1,-4.359521866E-1,8.647251464E-1
8.382831800E-1,3.398184180E-1,7.052927017E-1,-4.782428741E-1,9.174042724E-1
8.432364090E-1,5.482177138E-1,6.461648941E-1,-3.849830627E-1,9.307436225E-1
8.481896390E-1,7.343547940E-1,5.415074229E-1,-2.377405167E-1,9.428827105E-1
8.531428680E-1,7.905341983E-1,4.411477447E-1,-1.040649414E-2,9.053529402E-1
8.581065660E-1,8.436267376E-1,3.778422177E-1,1.181621552E-1,9.318975849E-1
8.630603160E-1,7.964954972E-1,3.508532941E-1,1.939611435E-1,8.916972784E-1
8.680140660E-1,6.852389574E-1,3.691721559E-1,2.149581909E-1,8.074946026E-1
8.729678680E-1,5.063723922E-1,3.708144426E-1,1.314220428E-1,6.412395058E-1
8.779119820E-1,3.764204383E-1,3.751913309E-1,6.766510010E-2,5.357606246E-1
8.828652640E-1,3.015975356E-1,2.873475552E-1,6.630229950E-2,4.218123823E-1
8.878185450E-1,2.399030924E-1,1.918481737E-1,4.112815857E-2,3.099205397E-1
8.927718260E-1,2.990072966E-1,6.998676062E-2,1.184511185E-1,3.291415767E-1
8.977215140E-1,3.042997122E-1,4.363286495E-2,2.095575333E-1,3.720436822E-1
9.026745870E-1,2.807238698E-1,1.479535699E-1,1.419067383E-2,3.176437079E-1
9.076277120E-1,4.068473577E-1,6.918308139E-2,-1.399402618E-1,4.357686865E-1
9.125807840E-1,5.464741588E-1,-7.574468851E-3,-1.292839050E-1,5.616099241E-1
9.175388570E-1,6.860477328E-1,-8.293193579E-2,-1.655101776E-2,6.912402866E-1
9.224921910E-1,8.593491912E-1,-1.912873089E-1,5.972957611E-2,8.824055129E-1
9.274455240E-1,8.877588511E-1,-1.808649600E-1,9.997749329E-2,9.114951511E-1
9.323988570E-1,8.627661467E-1,-1.671560854E-1,-5.044746399E-2,8.802565122E-1
9.373479720E-1,7.695260644E-1,-4.540088773E-2,-1.690807343E-1,7.891893937E-1
